question	answer
How can I find top journals in my field?	Use bibliometric tools like JCR, CiteScore, EigenFactor, and Google Scholar Metrics. Rankings can vary by tool, metric, and subject scope.
What are some additional tools for journal rankings?	Tools include JCR, EigenFactor, CiteScore, Google Scholar Metrics, and curated journal lists like ERIH PLUS, ABDC, and ABS Journal Quality Guide.
What is CiteScore?	CiteScore measures the average citations per document a title receives over a 3-year period, using data from Scopus.
How does CiteScore differ from Impact Factor?	CiteScore uses a 3-year window and includes all document types indexed in Scopus, while JIF uses a 2-year window and includes only citable documents.
Where can I find CiteScore information?	CiteScores are available via Scopus Journal Metrics and cover over 22,000 titles across disciplines.
What is the SNIP metric?	SNIP (Source Normalized Impact per Paper) measures citation impact by considering citation practices of different fields, enabling field-normalized comparisons.
What is SJR?	SJR (SCImago Journal Rank) uses Scopus data to assess journal prestige by giving more weight to citations from high-ranking journals.
What is the EigenFactor score?	The EigenFactor score ranks journals based on incoming citations, with more weight given to citations from influential journals and excluding self-citations.
How is the EigenFactor score calculated?	It is based on a network of citations, adjusted for time researchers spend reading the journal, and uses a 5-year citation window.
Where can I find EigenFactor scores?	EigenFactor scores are available via Journal Citation Reports and the Eigenfactor website.
How does EigenFactor differ from Impact Factor?	EigenFactor considers citation source quality, removes self-citations, and normalizes across disciplines, unlike JIF which counts all citations equally.
What is the purpose of journal rating lists like ERIH PLUS or ABDC?	These lists offer additional guidance on journal quality, especially in fields where bibliometric scores may not be sufficient.
What is the purpose of the Library Research Support guide?	The guide is designed to direct RCSI Bahrain researchers to research-focused services and resources available through the Library.
What research support services are available to graduate students?	Graduate students can access support such as research consultations, systematic review guidance, managing references, and thesis/dissertation help.
How can I get a research consultation?	Research consultation is available through the Libraryâ€™s Research Support service. Use the contact form or LibChat to get started.
What tools are recommended for managing references?	The guide includes resources for using EndNote (Windows and Mac) and Mendeley to manage references.
What is Covidence and how is it used?	Covidence is listed as a tool for researchers and supports systematic reviews.
How can I keep up with new research in my field?	Use the Current Awareness Service and set up alerts in tools like PubMed and Scopus.
What citation styles are supported?	The guide supports citation styles such as Harvard and Vancouver.
Where can I find support for writing and citing?	Writing, citing, and creating resources are available, including guidance on citation styles, TurnItIn, plagiarism, and poster creation.
How can I avoid predatory publishing?	The guide provides information on identifying predatory journals and choosing reputable places to publish.
What is the Institutional Repository?	It is a platform provided for sharing research outputs openly.
How do I access research impact services?	Impact services include ORCiD, ResearcherID, Scopus Author Profile, and Google Scholar Citations Profile.
Where can I find journal rankings and impact measures?	The guide includes links to tools and metrics for journal rankings and impact measures.
What should I know about copyright and fair use in publishing?	The guide includes resources on fair use, copyright permissions, and managing your own copyright.
How can I access specialized information resources?	Specialized resources are linked within the guide, such as PubMed, Web of Science, Google Scholar, and Research to Publication.
What is BrowZine?	BrowZine is a tool mentioned in the guide for inspiration and browsing scholarly journals.
What is Open Access?	Open Access is the free and unrestricted access to information, including journal articles, books, images, data, and other outputs, without financial, legal, or technical barriers.
Why is Open Access important?	Open Access promotes the global sharing of scholarly information and research, supporting unrestricted access to knowledge.
What is Open Access Week?	Open Access Week is an annual international event held in the last week of October to promote discussions on reducing barriers to accessing research publications.
What events are scheduled for Open Access Week 2024?	Events include workshops, author meet-and-greets, panel discussions, and showcases from October 21â€“24, 2024.
What is the purpose of the "Finding the Right Open-Access Journal" workshop?	The workshop helps students navigate open-access publishing, understand journal metrics, and avoid predatory journals.
What is the "Meet Our Authors" event about?	It provides students a chance to learn about the open-access publishing experiences of authors.
What happens during the "Research Without Borders" panel discussion?	Students and staff share their experiences with the scientific publication process to inspire future open-access authors.
What is the "Blueprint to Publishing" event?	It showcases open-access publications authored by students and staff.
Where can I find more information about the Open Access Week theme?	Visit https://www.openaccessweek.org/ for current themes and additional information.
Who can I contact for more information about Open Access Week?	You can contact the library at librarian@rcsi-mub.com.
What does ORCID stand for?	ORCID stands for Open Researcher and Contributor Identifier.
Why should I register for an ORCID iD?	An ORCID iD distinguishes you from other researchers, improves recognition, reduces form-filling, and connects your research and affiliations throughout your career.
How do I register for an ORCID iD?	Visit orcid.org/register and fill out the form, or register through your institutional credentials if available.
How can I use my ORCID iD?	Include it when submitting publications, applying for grants, and on academic profiles to ensure your work is accurately attributed.
How do I add works to my ORCID profile?	You can add works by linking to databases, importing BibTeX files, or entering information manually.
Can I import citations into ORCID from other databases?	Yes, ORCID supports importing from databases such as Scopus, Web of Science, CrossRef, and MLA International Bibliography.
How do I control the visibility of my ORCID profile?	You can set visibility to Public, Trusted parties, or Private for different parts of your ORCID record.
How do I link my ORCID to other research tools?	Link your ORCID to Scopus, Web of Science, ResearcherID, figshare, and other services to import works and enhance visibility.
What should I include in my ORCID profile?	Add a biography, education, employment, funding details, keywords, and links to profiles like RCSI repository or ResearchGate.
Can I have more than one ORCID iD?	No, you should only have one ORCID iD. If you have duplicates, remove the extra account via "Account settings".
How do I assign someone else to manage my ORCID profile?	Under "Account settings", designate a trusted individual who can access and edit your ORCID record.
What are the benefits of making my ORCID profile public?	Making your profile public increases research visibility and allows integration with more systems.
Why should I add name variations to my ORCID profile?	Including name variations helps ensure all your publications are correctly attributed, especially if you've published under different names.
How is ORCID used by publishers and institutions?	Many publishers and funders require or support ORCID iDs to streamline submission processes and ensure accurate attribution.
What is PubMed?	PubMed is part of Medline, a large biomedical database with over 30 million records, covering topics like medicine, nursing, pharmacy, health care, biology, and biochemistry.
What subjects does PubMed cover?	PubMed includes articles from academic journals in medicine, nursing, pharmacy, health care, biology, and biochemistry.
What is MeSH in PubMed?	MeSH (Medical Subject Headings) is the National Library of Medicineâ€™s controlled vocabulary thesaurus used for indexing articles in PubMed.
How can MeSH terms help in PubMed searches?	MeSH terms help improve searches by allowing users to broaden or narrow search results more effectively.
How extensive is the MeSH vocabulary?	MeSH includes over 28,000 descriptors, more than 90,000 entry terms, and 240,000 supplementary concept records.
How should I conduct a basic search in PubMed?	Use simple, specific keywords in the search box. PubMed also suggests terms based on common searches.
What tools are available for searching in PubMed?	PubMed offers basic and advanced search options, and supports the use of MeSH for refined searching.
Where can I find a tutorial on subject searching in PubMed?	A video tutorial on subject searching in PubMed is mentioned in the document.
What is the National Library of Medicine (NLM)?	The NLM is a U.S. institution that manages PubMed and MeSH, and regularly posts updates on its services and job opportunities.
What is a ResearcherID?	ResearcherID is a unique identifier feature on Web of Science that links an author with their publications, regardless of name or affiliation variations.
How can I create a ResearcherID?	You can register via the Web of Science or the ResearcherID website by logging in through the library portal.
How do I add publications to my ResearcherID profile?	Search for your articles in Web of Science by author, then select and add them to your ResearcherID profile.
Is ResearcherID updated automatically?	No, you must manually keep your ResearcherID profile up to date.
What is a Scopus Author ID?	Scopus Author ID is an 11-digit identifier automatically assigned in Scopus and ScienceDirect to group an author's publications.
What if I have multiple Scopus profiles?	You can request profile amendments or merge profiles if more than one has been created.
What content types does Scopus index?	Scopus indexes peer-reviewed journals, trade publications, open-access journals, books, conference papers, and patents from over 5,000 publishers.
Can I link my Scopus profile with ORCID?	Yes, you can connect your Scopus author profile to your ORCID from the Author details page in Scopus.
What is Google Scholar Citations?	It is a feature that lets authors track citations to their work, check who is citing them, and compute citation metrics.
How do I create a Google Scholar profile?	Sign into Google with a Gmail account, go to Google Scholar, click "My Citations," and follow prompts to add and manage your articles.
Should I enable automatic updates in Google Scholar?	If you have a common name, itâ€™s better to disable automatic updates to avoid incorrect article associations.
What is scholarly communication?	Scholarly communication refers to the process of creating, evaluating, disseminating, and preserving scholarly work.
What is Open Access (OA)?	Open Access is a publishing model that allows unrestricted online access to scholarly journal articles, books, data, and other outputs.
How does Open Access differ from traditional publishing?	Traditional publishing relies on paid subscriptions for access, whereas Open Access is freely available to anyone online.
What are Article Processing Charges (APCs)?	APCs are fees charged by some open access journals to publish an article. Not all OA journals charge APCs.
What is Green Open Access?	Green OA allows authors to deposit versions of their articles in institutional repositories like the RCSI Repository, possibly with embargoes.
What is the RCSI Repository?	It is an institutional repository that collects, preserves, and disseminates RCSIâ€™s research outputs online for open access.
Who mandates Open Access publishing at RCSI?	Funders such as Science Foundation Ireland (SFI), the Health Research Board (HRB), and the Irish Research Council (IRC) require OA publishing.
What is Plan S?	Plan S is an initiative by research funders to ensure that all publicly funded research is published in compliant open access journals or platforms.
What does Plan S require from researchers?	From January 2020, researchers must publish publicly funded research in compliant OA journals or platforms without embargoes.
What are some major Open Access book initiatives?	Initiatives include Radical Open Access, Knowledge Unlatched, and TOME (Toward an Open Monograph Ecosystem).
What tools help determine article sharing rights?	Sherpa Romeo helps researchers understand publisher policies for archiving and sharing article versions.
What are the different article versions?	They include the Submitted Version (preprint), Accepted Version (postprint), and Published Version (version of record).
What is the SPARC Author Addendum?	It is a tool provided by SPARC to help authors retain rights to their work when signing publishing agreements.
What are the pros of publishing Open Access?	OA increases visibility, accessibility, discoverability, and author control over copyright.
What are the cons of Open Access publishing?	Some OA journals charge APCs and there is a risk of predatory journals. OA is sometimes undervalued in tenure reviews.
What is the role of the RCSI Repository in OA?	It supports compliance with funder mandates, increases visibility, and archives institutional scholarly output.
How can I deposit research in the RCSI Repository?	Use the RIMS system to submit your work to the RCSI Repository for open access availability.
What is Scopus?	Scopus is the largest international abstract and citation database of peer-reviewed literature and quality web sources, indexing over 45.5 million records from 5,000 publishers.
What can I do with Scopus?	Scopus allows users to track citations, view h-index scores, analyze research trends, assess journals, manage research impact with ORCID, and identify collaborators or experts.
How do I create a search alert in Scopus?	Perform a search, click â€œSet alertâ€ on the results page, enter your email, choose frequency, select status, and click â€œSaveâ€ or â€œSet Alert.â€
How do I conduct a basic document search in Scopus?	Use the default 'Document' search to find records containing your terms in specific fields.
What is Advanced Search in Scopus?	Advanced Search lets you use field codes, Boolean and proximity operators to perform more precise queries.
How can I exclude Medline records in Scopus searches?	Add AND NOT INDEX(medline) in your advanced search string.
What is an Affiliation Search in Scopus?	Affiliation Search finds documents and authors by institution. You can search using variations of an institution's name.
What is the Scopus Affiliation ID for RCSI Bahrain?	The Scopus Affiliation ID for RCSI Bahrain is 60107237.
How do I search for an author in Scopus?	Use the â€˜Author Searchâ€™ tab, search by name or ORCID iD, and view their documents, citations, and profile details.
What is a Scopus Author Identifier?	It is a unique number assigned to each author to distinguish their works, especially in cases of name variations.
Where can I find an author's Scopus ID?	Run a search, click on the author's name in the results, and find the ID under their name and affiliation.
How can I review documents in Scopus?	Click on a document title to see full details like citation info, metrics, references, and related documents.
How do I export citations from Scopus?	Select the records, click â€œExport,â€ choose the desired format (e.g., EndNote, RefWorks), and confirm export options.
What types of alerts can I create in Scopus?	Scopus supports Search Alerts, Document Citation Alerts, and Author Citation Alerts to notify users of updates via email.
How do I frame a search strategy for research?	Begin by identifying main concepts in your topic, conduct a keyword search, analyze relevant results, and refine using subject headings or database thesauri.
What are subject headings in database searches?	Subject headings, like MeSH in Medline or CINAHL Headings in CINAHL, are standardized terms that improve search accuracy and relevance.
Why should I keep track of search terms?	Tracking terms prevents duplicate searches and helps refine strategy effectively.
What is Boolean search and how does it work?	Boolean search uses operators (AND, OR, NOT) to combine keywords and refine results.
How does the OR operator affect search results?	It broadens a search by retrieving results that contain any of the linked terms.
How does the AND operator affect search results?	It narrows a search by retrieving only records containing all linked terms.
How does the NOT operator work in database searches?	It excludes records containing a specified term, refining the search further.
How do I perform a phrase search?	Enclose phrases in quotation marks (e.g., â€œhearing impairedâ€) to ensure words appear together in order.
What is truncation in search strategies?	Truncation uses a symbol (commonly ) to find word variants with different endings (e.g., child retrieves child, children, childhood).
What are wildcard symbols in database searching?	Wildcards like ?, # replace characters in a word to capture spelling variations (e.g., wom#n finds woman or women).
How does proximity searching work?	Proximity searching retrieves records with terms appearing close together, using operators like N (near) and W (within) with a number (e.g., dogs N5 cats).
What is the difference between NEAR and WITHIN in proximity searches?	NEAR retrieves terms in any order within a set number of words; WITHIN retrieves terms in a specific order within a set distance.
What COVID-19 publication databases are recommended?	Recommended sources include PubMed (COVID trending), WHO COVID-19 publications database, Europe PMC, and NEJM Journal Watch.
Where can I find systematic reviews on COVID-19?	The EPPI Centre offers a living systematic map of COVID-19 evidence, categorizing articles from Embase and Medline.
What are reliable preprint sources for COVID-19 research?	Preprint platforms include Europe PMC, BioRxiv, MedRxiv, SSRN, and arXiv.
What resources provide COVID-19 clinical trial data?	Use ClinicalTrials.gov and the WHO International Clinical Trials Registry Platform for clinical studies on COVID-19.
Where can I find genomic data for COVID-19?	Genomic data is available from GISAID and the NLMâ€™s SARS-CoV-2 Data Hub.
What funding sources are available for COVID-19 research?	Funding options include Crowdhelix Network, HRB COVID-19 Rapid Response Call, SFI/Enterprise Ireland/IDA COVID-19 initiatives, and European Commission tenders.
What are recommended information sources for diabetes and metabolic disease research?	Resources include NEJM Journal Watch articles covering treatments and risks related to diabetes and metabolic disorders.
What are some top journals for cardiovascular and metabolic research?	Journals include Circulation, JACC, Circulation Research, European Heart Journal, Hypertension, and Stroke.
What books are suggested for breast cancer research?	Recommended titles include Breast Cancer - Your Treatment Choices by Terry Priestman and Breast Cancer by Emma Pennery et al.
What are key sources for breast cancer research updates?	NEJM Journal Watch provides updates on chemotherapy effects, surgical strategies, and targeted treatments in breast cancer.
What is SPSS and what is it used for?	SPSS is a statistical software from IBM used for data collection and statistical analysis across various disciplines.
How is data entered in SPSS?	Data can be input using Data View and edited in Variable View; the interface differs slightly between Mac and PC versions.
What types of statistical tests can be performed in SPSS?	SPSS supports descriptive statistics, T-tests, chi-square, regression, correlation, and ANOVA.
What learning resources are available for SPSS?	Recommended books include Discovering Statistics Using IBM SPSS Statistics by Andy Field and SPSS Survival Manual by Julie Pallant.
What is NVivo used for?	NVivo is software for qualitative analysis of textual and audiovisual data, allowing for coding, annotation, visualization, and querying.
What are some new features of NVivo 12?	NVivo 12 includes auto-coding, improved navigation, transcription services, SPSS export, and codebook import/export capabilities.
How does coding work in NVivo?	Coding involves tagging data into nodes to categorize themes, relationships, or sentiments using inductive or deductive approaches.
What query options does NVivo offer?	NVivo includes text search, word frequency, coding, matrix coding, crosstab, compound, coding comparison, and group queries.
What is R and how is it used?	R is a free, open-source statistical software for data analysis, graphics, and statistical computing, available via RStudio or Athena.
Where can I learn R?	Resources include R manuals, videos, online courses (Coursera, Udemy), R-bloggers, and the R Journal.
What are some topics covered in R tutorials?	R tutorials cover statistical functions, graphics, data manipulation, time series, survival analysis, and more.
What is Jamovi and who is it for?	Jamovi is free, open-source statistical software based on R with a GUI similar to SPSS, suitable for Windows, Mac, and Linux users.
What resources are available for learning Jamovi?	Users can access Jamovi tutorials from Datalab, the user guide, and video tutorials from FreeCodeCamp.
What is a systematic review?	A systematic review is a research method that summarizes results from available healthcare studies using rigorous, transparent, and reproducible methods.
How does a systematic review differ from a traditional literature review?	Systematic reviews use structured, transparent methods, while traditional reviews are more narrative and may lack reproducibility.
What are the key steps in conducting a systematic review?	Steps include formulating a research question, writing a protocol, searching literature, screening studies, assessing quality, extracting and analyzing data, and reporting results.
What is a scoping review?	A scoping review maps key concepts, types of evidence, and gaps in research without assessing the quality of included studies.
What is a rapid review?	A rapid review is a form of evidence synthesis that uses streamlined methods to produce evidence quickly.
How do I develop a research question for a systematic review?	Use the PICO (Population, Intervention, Comparison, Outcome) framework to structure your question.
What are inclusion and exclusion criteria in a systematic review?	These are predefined rules to determine which studies are included or excluded from the review.
What is the purpose of a systematic review protocol?	A protocol outlines the planned methods and minimizes bias, and can be registered on platforms like PROSPERO.
What databases should I search for a systematic review?	Common databases include PubMed, Embase, Cochrane Library, CINAHL, and Scopus.
What tools are used for managing references and screening studies?	Tools include EndNote for references and Covidence for screening, data extraction, and quality assessment.
How is quality assessed in a systematic review?	Quality is assessed using tools like the Cochrane Risk of Bias tool or other domain-based instruments.
What is data extraction in a systematic review?	Data extraction involves collecting key information from included studies for analysis.
What synthesis methods are used in systematic reviews?	Synthesis may include narrative synthesis, meta-analysis, or thematic analysis depending on study type.
How do I report the results of a systematic review?	Use the PRISMA guidelines to ensure comprehensive and transparent reporting.
What is PRISMA?	PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) provides guidelines for reporting systematic reviews.
What is Web of Science?	Web of Science is a platform of literature search databases designed to support scientific and scholarly research.
How can I register for Web of Science?	Click on the â€œSign Inâ€ button on the Web of Science landing page and select â€œRegister.â€ The same credentials work for EndNote online, ResearcherID, and InCites.
What can I do with a Web of Science ResearcherID?	You can track publications, citations, peer reviews, and editorial work, and generate reports for promotion or funding. It also aids in author name disambiguation.
How can I create a Publons profile?	Visit publons.com, click â€œCreate a Publons Profile,â€ and register using the same email as your Web of Science or EndNote account. Link your ORCID to import publications.
How does Web of Science help find collaborators?	Use the â€œAnalyze Resultsâ€ tool on search results to identify top authors and institutions active in your research area.
How can I find highly cited journals in my field using Web of Science?	Use Journal Citation Reports (JCR) to search by category, quartile, or open access status to identify journals suitable for manuscript submission.
What do JCR quartiles mean?	JCR quartiles classify journals by impact: Q1 (top 25%), Q2 (25â€“50%), Q3 (50â€“75%), and Q4 (bottom 25%) based on Journal Impact Factor.
How do I find which journals publish the most papers on my topic?	Search your topic in Web of Science, then use the â€œAnalyze Resultsâ€ tool and select â€œSource Titlesâ€ to identify the most active journals.
What are the benefits of linking ORCID with Publons?	Linking ORCID and Publons enables automatic syncing of publications and verified peer review records, enhancing your research visibility.
How can I identify potential journals to publish in?	You can identify journals by searching where similar articles have been published and using tools like JANE, Elsevier Journal Finder, Springer Journal Selector, and WoS Manuscript Matcher.
What resources can help me evaluate journal acceptance rates?	Use Cabellâ€™s Scholarly Analytics or check the journalâ€™s website. Contact the editor directly if acceptance rates are not listed.
How can I assess the credibility of a journal?	Use the Think. Check. Submit. checklist, evaluate impact factors, peer review practices, and editorial boards, and confirm listings in directories like DOAJ.
What are predatory journals?	Predatory journals exploit the open access model by charging fees without providing legitimate editorial or peer review services.
How can I identify predatory publishers?	Watch for fast publication promises, fake impact factors, unknown editorial boards, poor-quality publications, and missing contact details.
What is a predatory conference?	These events solicit participation through spam, charge fees, and often lack credible speakers or proper organization.
What tools can help avoid predatory publishing?	Use Think. Check. Submit., Be iNFORMEd checklist, and directories like DOAJ and Quality Open Access Market.
What are journal impact factors and how are they calculated?	Impact Factor = citations in a year to items published in the previous two years Ã· number of citable items. Provided by Journal Citation Reports (JCR).
What are alternative journal metrics to Impact Factor?	Alternatives include CiteScore, SJR (SCImago Journal Rank), SNIP (Source Normalized Impact per Paper), and Eigenfactor.
What does the h-index measure?	The h-index measures an author's productivity and citation impact. Available via Scopus, Web of Science, and Google Scholar.
What is the i10-index?	Used only by Google Scholar, it counts the number of publications with at least 10 citations.
What is Gold Open Access?	Entire journals are open access and typically charge Article Processing Charges (APCs) to authors.
What is Hybrid Open Access?	Subscription-based journals offer the option for individual articles to be open access via APCs.
What are some reputable open access initiatives for books?	Radical Open Access, Knowledge Unlatched, and TOME are notable OA book initiatives.
What organizations promote publishing standards and ethics?	DOAJ, COPE, OASPA, ROAD.ISSN.org, and WAME promote ethical publishing practices.
Who can I contact for help with publishing decisions?	Contact your Research Support Librarian or use the guideâ€™s contact details for assistance.
What is a literature review?	A literature review systematically analyzes scholarly writings related to a specific research question to provide background, show correspondence with the topic, and support further research.
What types of projects require a literature review?	Projects may include honors papers, capstone projects, theses, dissertations, research articles, grant proposals, and evidence-based practice reports.
What is not considered a literature review?	A literature review is not an annotated bibliography or a research paper supporting one side; it must critically analyze and reflect all sides of the argument.
Why is a literature review important?	It provides background, shows significance, identifies gaps, challenges assumptions, explores themes, and suggests future research directions.
How do I define a good research question for a literature review?	Choose a topic that's not too broad or narrow, conduct preliminary searches, and use frameworks like PICO, SPICE, or ECLIPSE to define key concepts.
What are the key elements of a literature review?	Discuss the theory, explain the methodology used in the research, and identify gaps that your research will address.
What steps are involved in framing a search strategy?	Identify main concepts, conduct a keyword search, find subject headings (like MeSH), and perform a refined search using those terms.
What is the benefit of using subject headings in searches?	Subject headings improve relevance and precision by using database-specific controlled vocabulary like MeSH in Medline or CINAHL Headings.
How should I organize search terms?	Break the research question into 2â€“4 concepts and use synonyms, plural/singular forms, acronyms, and subject headings for each.
What are good databases to search for published literature?	Recommended databases include Cochrane Library, Medline, Web of Knowledge, and SCOPUS.
What are some subject-specific resources?	Resources include CINAHL Plus (nursing), PsycInfo (psychology), and Health Research Premium Collection.
What is grey literature and why is it important?	Grey literature includes non-indexed sources like reports, theses, and policies. It reduces publication bias in research.
Where can I find grey literature?	Sources include OpenGrey, NLM resources (e.g., HSRProj), OpenDOAR, Bielefeld BASE, RIAN, Lenus, and the RCSI Repository.
Where can I find theses for literature reviews?	Use ProQuest Dissertations & Theses, EThOS, and DART-Europe for international and European theses.
How should a literature review be structured?	Include an introduction, main body (organized by theme, chronology, or methodology), and a conclusion summarizing gaps and future directions.
What should I avoid in writing a literature review?	Avoid biased views, jargon, plagiarism, misrepresentation, and overly definitive statements. Use objective, clear language.
What referencing styles are recommended?	The guide supports Harvard and Vancouver referencing styles.
What tools can help manage references and reviews?	Tools include EndNote (reference management), Covidence (systematic reviews), PRISMA, Abstrackr, and DistillerSR.
Are there any research support services available in addition to RtoP?	Yes, the library offers additional support such as one-on-one research consultations, guidance on systematic reviews, referencing help (EndNote), and assistance with journal selection.
Can the RtoP  program be accessed remotely or only on campus?	RtoP is fully online and self-paced, allowing researchers to access content remotely at their convenience.
How is RtoP different from other online research courses?	RtoP is specifically tailored for healthcare professionals and is developed in collaboration with BMJ and the University of California, San Francisco, offering a blend of global publishing expertise and academic credibility.
When should I consider doing a systematic review?	Systematic reviews are best suited when there is a well-defined research question and a need to summarize all existing evidence to inform practice, policy, or further research.
Does the library provide support for conducting systematic reviews?	Yes, the library offers training on search strategies, citation management, and tools like Covidence. We also help with database selection and PRISMA documentation.
Can I collaborate with others on Covidence?	Yes, you can invite team members to work collaboratively on the same project, assign roles, and track progress across stages.
Does the library offer training or help with Covidence?	Yes, we provide one-on-one support, group training, and guidance on using Covidence efficiently, especially for title/abstract screening and PRISMA reporting.
What is the role of Creative Commons licenses in open access publishing?	Creative Commons licenses define how others can use your work. Most OA journals use CC BY, which allows reuse with attribution, supporting wider dissemination.
